Table 1
,,,,,,,
,Rank,Country,Risk Score,"Domain 1: Interactions
with Government",Domain 2 : Anti-bribery Deterrence and Enforcement,"Domain 3 : Governmental
and Civil Service Transparency","Domain 4 : Capacity for
Civil Society Oversight"
,164,Djibouti,66,51,51,86,82
,165,Liberia,66,83,48,68,46
,166,Bolivia,66,83,69,60,41
,167,Comoros,66,54,80,85,60
,168,Afghanistan,66,80,69,54,52
,169,Iran,67,73,55,58,74
,170,Haiti,68,79,55,71,54
,171,Cameroon,68,72,71,66,61
,172,Nicaragua,69,73,69,75,56
,173,Gabon,70,86,68,52,61
,174,Sudan,70,60,63,86,80
,175,Tajikistan,71,72,65,64,80
,176,Ethiopia,71,73,59,61,85
,177,Syria,72,86,47,63,71
,178,Bangladesh,72,86,63,60,64
,179,Madagascar,72,81,72,74,53
,180,Zimbabwe,72,75,62,76,67
,181,Uzbekistan,73,69,66,76,79
,182,Iraq,73,78,62,82,62
,183,Laos,75,70,67,79,85
,184,Guinea-Bissau,75,72,74,93,65
,185,Angola,76,89,61,78,63
,186,Republic of the Congo (Brazzaville),77,84,73,79,63
,187,Central African Republic,78,78,82,88,65
,188,Eritrea,79,54,84,100,99
,189,Cambodia,79,92,68,80,63
,190,Burundi,79,64,80,88,98
,191,Dem. Rep. of the Congo,82,92,80,76,70
,192,Equatorial Guinea,82,76,86,90,82
,193,Turkmenistan,82,89,53,81,92
,194,Libya,82,91,70,84,74
,195,Chad,84,88,87,85,74
,196,Venezuela,85,100,78,78,71
,197,Yemen,85,86,75,93,85
,198,North Korea,86,70,100,89,100
,199,South Sudan,92,95,81,97,89
,200,Somalia,94,96,88,98,90
